GADE (Affect of gaming in work),Game,Hours (per week),streams,Narcissism,Gender,Age,Work,Degree,Residence_ISO3,SWL_T (Satisfaction with Life total score),SPIN_T (Social Phobia Inventory total score),GAD_T (General Anxiety Disorder total score) (to predict)
Not difficult at all,League of Legends,14,0,1,Male,19,Student at college / university,High school diploma (or equivalent),CRI,22,6,0
Not difficult at all,League of Legends,80,1,1,Male,18,Unemployed / between jobs,High school diploma (or equivalent),BRA,21,10,1
Somewhat difficult,League of Legends,30,1,2,Male,28,Employed,None,EST,27,32,3
Somewhat difficult,League of Legends,15,1,1,Male,20,Student at college / university,High school diploma (or equivalent),GRC,14,18,13
Somewhat difficult,League of Legends,15,1,2,Male,25,Unemployed / between jobs,Master (or equivalent),GRC,12,17,1
Not difficult at all,League of Legends,14,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,21,37,3
Somewhat difficult,League of Legends,14,1,2,Female,23,Employed,Bachelor (or equivalent),USA,18,29,7
Not difficult at all,League of Legends,7,1,1,Male,24,Student at college / university,Master (or equivalent),GBR,28,3,0
Not difficult at all,League of Legends,20,1,1,Male,27,Employed,Master (or equivalent),MAR,24,8,0
Not difficult at all,League of Legends,18,0,1,Male,25,Employed,Master (or equivalent),FRA,27,8,5
Extremely difficult,League of Legends,20,1,1,Male,24,Student at college / university,High school diploma (or equivalent),DEU,13,27,3
Not difficult at all,League of Legends,35,1,1,Male,25,Student at college / university,"Ph.D., Psy. D., MD (or equivalent)",SRB,25,3,1
Somewhat difficult,League of Legends,18,1,2,Male,19,Student at school,High school diploma (or equivalent),DEU,18,NA,12
Somewhat difficult,League of Legends,20,1,1,Male,23,Student at college / university,High school diploma (or equivalent),DEU,11,42,11
Somewhat difficult,League of Legends,20,1,1,Male,18,Unemployed / between jobs,High school diploma (or equivalent),NLD,16,18,11
Not difficult at all,League of Legends,10,1,3,Male,22,Student at college / university,High school diploma (or equivalent),DEU,20,20,2
NA,League of Legends,28,1,1,Male,22,Employed,Bachelor (or equivalent),USA,30,7,0
Not difficult at all,League of Legends,18,0,1,Male,25,Employed,Master (or equivalent),FRA,27,8,5
Not difficult at all,League of Legends,18,1,1,Male,42,Employed,Master (or equivalent),USA,27,33,5
Very difficult,League of Legends,12,1,4,Male,28,Unemployed / between jobs,Bachelor (or equivalent),BGR,13,27,17
Not difficult at all,League of Legends,14,1,3,Male,23,Student at college / university,High school diploma (or equivalent),NLD,28,11,3
Somewhat difficult,League of Legends,8,1,3,Female,27,Employed,High school diploma (or equivalent),USA,16,64,17
Somewhat difficult,League of Legends,8,1,1,Male,20,Student at college / university,High school diploma (or equivalent),USA,23,17,18
Somewhat difficult,League of Legends,10,1,1,Male,18,Student at school,None,NLD,26,24,3
Not difficult at all,League of Legends,17,1,4,Male,18,Student at college / university,High school diploma (or equivalent),DEU,24,13,1
Somewhat difficult,League of Legends,35,1,1,Male,21,Employed,High school diploma (or equivalent),DEU,12,15,3
Very difficult,League of Legends,21,1,5,Male,20,Student at college / university,High school diploma (or equivalent),GBR,10,37,11
Not difficult at all,League of Legends,37,1,4,Male,20,Student at college / university,High school diploma (or equivalent),ITA,25,8,0
Not difficult at all,League of Legends,10,1,1,Male,27,Student at college / university,High school diploma (or equivalent),NLD,10,14,4
NA,League of Legends,20,1,2,Male,18,Student at school,High school diploma (or equivalent),USA,25,16,0
Extremely difficult,League of Legends,21,1,1,Female,18,Student at college / university,High school diploma (or equivalent),BRA,9,55,21
Extremely difficult,League of Legends,32,1,2,Male,21,Student at college / university,High school diploma (or equivalent),USA,13,40,4
Not difficult at all,League of Legends,20,1,1,Male,24,Employed,None,NLD,20,5,2
NA,League of Legends,20,1,1,Male,19,Employed,High school diploma (or equivalent),AUS,18,2,0
Not difficult at all,League of Legends,10,1,1,Male,18,Student at school,None,USA,23,2,3
Not difficult at all,League of Legends,35,1,2,Male,19,Unemployed / between jobs,High school diploma (or equivalent),BRA,13,30,2
Not difficult at all,League of Legends,40,1,3,Male,20,Student at college / university,High school diploma (or equivalent),USA,25,11,8
Somewhat difficult,League of Legends,10,1,2,Male,24,Unemployed / between jobs,High school diploma (or equivalent),USA,7,8,3
Not difficult at all,League of Legends,30,1,2,Male,22,Unemployed / between jobs,Bachelor (or equivalent),BEL,7,5,11
Not difficult at all,League of Legends,20,1,1,Male,24,Student at college / university,Master (or equivalent),SGP,31,17,3
Not difficult at all,League of Legends,40,1,2,Male,21,Unemployed / between jobs,High school diploma (or equivalent),FIN,22,19,8
Not difficult at all,League of Legends,17,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,30,3,0
Somewhat difficult,League of Legends,14,1,1,Male,19,Student at college / university,High school diploma (or equivalent),DEU,8,37,4
Extremely difficult,League of Legends,55,1,1,Female,20,Unemployed / between jobs,High school diploma (or equivalent),GBR,26,65,7
Not difficult at all,League of Legends,55,1,2,Male,18,Student at school,Master (or equivalent),FIN,11,2,12
Somewhat difficult,League of Legends,35,1,2,Male,20,Student at college / university,None,USA,19,15,9
Somewhat difficult,League of Legends,20,1,2,Male,18,Student at school,None,DEU,19,17,3
Not difficult at all,League of Legends,20,1,1,Male,21,Employed,High school diploma (or equivalent),GBR,19,1,0
Not difficult at all,League of Legends,24,1,2,Male,18,Student at college / university,High school diploma (or equivalent),BRA,32,22,0
Not difficult at all,League of Legends,12,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,25,46,2
Very difficult,League of Legends,25,1,4,Male,26,Student at college / university,High school diploma (or equivalent),DEU,15,13,5
Not difficult at all,League of Legends,5,1,1,Male,30,Employed,High school diploma (or equivalent),FIN,22,12,0
NA,League of Legends,35,1,2,Male,18,Student at college / university,High school diploma (or equivalent),ARG,31,13,0
Somewhat difficult,League of Legends,10,1,1,Female,19,Employed,Bachelor (or equivalent),GBR,15,45,9
Somewhat difficult,League of Legends,23,1,1,Male,18,Student at school,High school diploma (or equivalent),BIH,14,NA,6
Not difficult at all,League of Legends,60,1,2,Male,18,Student at college / university,High school diploma (or equivalent),GBR,25,18,2
Somewhat difficult,League of Legends,30,1,1,Male,25,Employed,Bachelor (or equivalent),CAN,29,19,14
Somewhat difficult,League of Legends,10,1,2,Male,18,Student at school,None,DEU,22,32,8
NA,League of Legends,10,1,1,Male,20,Student at college / university,High school diploma (or equivalent),DEU,16,7,0
Not difficult at all,League of Legends,20,1,3,Male,18,Unemployed / between jobs,High school diploma (or equivalent),NLD,15,23,3
Not difficult at all,League of Legends,27,1,1,Male,18,Student at school,None,DEU,30,10,4
Not difficult at all,League of Legends,30,1,1,Male,22,Student at college / university,High school diploma (or equivalent),USA,26,13,0
Somewhat difficult,League of Legends,19,1,1,Male,18,Student at school,None,HUN,12,4,11
Somewhat difficult,League of Legends,28,1,1,Female,21,Student at college / university,Bachelor (or equivalent),DNK,14,28,6
Not difficult at all,League of Legends,25,1,3,Male,21,Student at college / university,High school diploma (or equivalent),USA,15,22,2
Somewhat difficult,League of Legends,20,1,2,Male,24,Student at college / university,Master (or equivalent),USA,30,19,2
Not difficult at all,League of Legends,30,1,1,Male,18,Student at college / university,High school diploma (or equivalent),DEU,27,17,1
Somewhat difficult,League of Legends,20,1,5,Male,22,Student at college / university,Master (or equivalent),FRA,32,6,4
Somewhat difficult,League of Legends,7,1,2,Male,18,Student at school,None,DNK,16,25,6
Not difficult at all,League of Legends,25,1,1,Male,20,Student at college / university,None,PRT,23,11,5
Somewhat difficult,League of Legends,21,1,3,Male,18,Student at school,None,USA,20,13,16
Somewhat difficult,League of Legends,17,1,3,Male,18,Student at college / university,Bachelor (or equivalent),GBR,17,24,2
Not difficult at all,League of Legends,35,1,1,Male,19,Student at college / university,Bachelor (or equivalent),ESP,23,9,2
Not difficult at all,League of Legends,10,1,1,Male,18,Employed,High school diploma (or equivalent),DEU,24,16,6
Somewhat difficult,League of Legends,14,1,3,Male,19,Student at college / university,High school diploma (or equivalent),USA,29,25,6
Somewhat difficult,League of Legends,40,1,1,Male,18,Student at school,None,ROU,17,35,7
Somewhat difficult,League of Legends,70,1,2,Male,20,Unemployed / between jobs,High school diploma (or equivalent),CAN,7,8,10
Somewhat difficult,League of Legends,28,1,2,Male,21,Student at college / university,High school diploma (or equivalent),ARG,22,1,2
Very difficult,League of Legends,5,1,1,Male,18,Student at school,None,USA,18,17,13
NA,League of Legends,20,1,2,Male,22,Student at college / university,High school diploma (or equivalent),GRC,33,17,0
Somewhat difficult,League of Legends,20,1,2,Male,21,Student at college / university,High school diploma (or equivalent),DEU,28,12,3
Not difficult at all,League of Legends,35,1,3,Male,18,Student at college / university,High school diploma (or equivalent),PRT,26,11,4
Somewhat difficult,League of Legends,20,1,2,Male,19,Student at college / university,Bachelor (or equivalent),POL,14,10,6
Very difficult,League of Legends,5,1,1,Male,18,Student at school,None,USA,18,17,13
Very difficult,League of Legends,22,1,5,Male,18,Student at college / university,High school diploma (or equivalent),DEU,22,22,6
Not difficult at all,League of Legends,10,1,2,Male,18,Student at college / university,High school diploma (or equivalent),DEU,29,4,0
Not difficult at all,League of Legends,5,0,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,12,3,0
Not difficult at all,League of Legends,25,1,2,Male,22,Employed,Bachelor (or equivalent),USA,19,28,3
Somewhat difficult,League of Legends,60,1,3,Male,18,Student at college / university,High school diploma (or equivalent),USA,19,9,4
Not difficult at all,League of Legends,20,0,1,Male,20,Employed,High school diploma (or equivalent),AUT,20,22,1
Somewhat difficult,League of Legends,25,1,4,Male,18,Student at college / university,High school diploma (or equivalent),FRA,18,27,5
Somewhat difficult,League of Legends,14,1,1,Male,22,Student at college / university,High school diploma (or equivalent),NLD,24,5,3
Somewhat difficult,League of Legends,10,1,3,Male,24,Employed,High school diploma (or equivalent),BEL,15,10,6
NA,League of Legends,10,1,2,Male,26,Employed,Master (or equivalent),GBR,26,7,0
Not difficult at all,League of Legends,20,1,2,Male,32,Employed,Master (or equivalent),DEU,16,17,21
Somewhat difficult,League of Legends,10,1,2,Male,18,Student at school,None,CAN,10,2,1
Somewhat difficult,League of Legends,40,1,1,Male,24,Employed,High school diploma (or equivalent),USA,9,21,6
Not difficult at all,League of Legends,40,1,1,Male,18,Student at college / university,High school diploma (or equivalent),ARG,24,41,8
Somewhat difficult,League of Legends,18,1,2,Male,23,Employed,Bachelor (or equivalent),IND,18,20,6
Not difficult at all,League of Legends,20,1,1,Male,20,Student at school,High school diploma (or equivalent),PRT,14,9,1
Not difficult at all,League of Legends,21,1,1,Male,18,Student at school,High school diploma (or equivalent),NLD,29,7,2
Somewhat difficult,League of Legends,10,1,4,Male,19,Employed,High school diploma (or equivalent),USA,15,7,8
Not difficult at all,League of Legends,23,1,1,Male,18,Student at college / university,None,USA,19,NA,5
Not difficult at all,League of Legends,28,1,4,Male,22,Student at college / university,High school diploma (or equivalent),DEU,30,16,1
Somewhat difficult,League of Legends,8,1,2,Male,24,Employed,Bachelor (or equivalent),USA,18,14,7
Not difficult at all,League of Legends,35,1,2,Male,21,Student at college / university,High school diploma (or equivalent),DEU,16,15,1
Not difficult at all,League of Legends,15,1,1,Male,19,Student at school,High school diploma (or equivalent),SWE,25,11,1
Somewhat difficult,League of Legends,30,1,1,Male,18,Student at college / university,High school diploma (or equivalent),GBR,21,53,11
Somewhat difficult,League of Legends,45,1,3,Male,23,Employed,High school diploma (or equivalent),POL,9,24,11
Not difficult at all,League of Legends,8,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,22,3,0
NA,League of Legends,10,1,1,Male,27,Employed,Bachelor (or equivalent),USA,27,5,0
Somewhat difficult,League of Legends,17,1,4,Male,19,Student at college / university,High school diploma (or equivalent),CAN,31,26,2
Not difficult at all,League of Legends,30,1,1,Male,18,Student at school,High school diploma (or equivalent),USA,20,2,0
Somewhat difficult,League of Legends,10,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,22,10,7
Not difficult at all,League of Legends,16,1,3,Male,18,Student at college / university,High school diploma (or equivalent),DEU,30,6,2
Not difficult at all,League of Legends,20,1,1,Male,18,Student at college / university,High school diploma (or equivalent),DEU,23,28,3
