GADE (Affect of gaming in work),Game,Hours (per week),streams,Narcissism,Gender,Age,Work,Degree,Residence_ISO3,SWL_T (Satisfaction with Life total score),SPIN_T (Social Phobia Inventory total score),GAD_T (General Anxiety Disorder total score) (to predict)
Not difficult at all,League of Legends,20,1,2,Male,28,Employed,Master (or equivalent),ESP,25,4,4
Somewhat difficult,League of Legends,10,1,2,Male,18,Unemployed / between jobs,High school diploma (or equivalent),DEU,16,32,4
Not difficult at all,League of Legends,25,1,1,Male,24,Employed,Master (or equivalent),UKR,22,14,3
Not difficult at all,League of Legends,14,1,1,Male,24,Unemployed / between jobs,High school diploma (or equivalent),ZAF,17,21,8
NA,League of Legends,15,1,5,Male,18,Student at school,High school diploma (or equivalent),USA,9,4,3
Not difficult at all,League of Legends,49,1,3,Male,18,Student at college / university,High school diploma (or equivalent),DEU,21,11,1
Not difficult at all,League of Legends,30,1,2,Male,19,Student at college / university,High school diploma (or equivalent),ESP,16,4,0
Not difficult at all,League of Legends,14,1,1,Male,24,Employed,Master (or equivalent),RUS,16,17,5
Not difficult at all,League of Legends,45,0,5,Male,18,Student at college / university,High school diploma (or equivalent),USA,22,45,2
Not difficult at all,League of Legends,42,1,4,Male,18,Student at school,None,DEU,31,8,4
Not difficult at all,League of Legends,12,1,1,Male,30,Employed,Master (or equivalent),BEL,30,9,0
Somewhat difficult,League of Legends,25,1,1,Male,20,Student at college / university,High school diploma (or equivalent),FRA,21,13,2
Very difficult,League of Legends,20,1,2,Male,25,Unemployed / between jobs,Bachelor (or equivalent),GBR,13,21,2
Somewhat difficult,League of Legends,10,1,1,Male,23,Employed,Bachelor (or equivalent),DNK,22,18,7
Very difficult,League of Legends,30,1,3,Male,28,Employed,Bachelor (or equivalent),BRA,13,20,11
Not difficult at all,League of Legends,12,1,2,Male,21,Student at college / university,High school diploma (or equivalent),CAN,21,4,2
Very difficult,League of Legends,16,1,2,Male,18,Student at school,None,POL,17,21,2
Not difficult at all,League of Legends,6,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,30,15,1
Not difficult at all,League of Legends,35,0,1,Male,25,Unemployed / between jobs,High school diploma (or equivalent),MYS,16,18,9
Somewhat difficult,League of Legends,30,1,3,Male,23,Student at college / university,Bachelor (or equivalent),DEU,25,23,5
Very difficult,League of Legends,30,1,2,Female,23,Student at college / university,Master (or equivalent),DEU,12,67,13
Not difficult at all,League of Legends,22,1,1,Male,28,Employed,Bachelor (or equivalent),ESP,13,14,8
Not difficult at all,League of Legends,21,1,2,Male,20,Student at college / university,High school diploma (or equivalent),FIN,17,7,0
Not difficult at all,League of Legends,3,1,1,Male,35,Employed,Master (or equivalent),BEL,17,15,2
Extremely difficult,League of Legends,10,1,1,Male,18,Student at school,None,SWE,7,23,10
Somewhat difficult,League of Legends,50,1,1,Male,63,Unemployed / between jobs,None,BRA,24,NA,10
Somewhat difficult,League of Legends,5,1,4,Male,24,Student at college / university,Master (or equivalent),CHE,30,3,5
Not difficult at all,League of Legends,14,1,1,Male,21,Student at college / university,High school diploma (or equivalent),HRV,19,12,1
Somewhat difficult,League of Legends,40,1,2,Male,26,Unemployed / between jobs,Bachelor (or equivalent),GRC,17,11,7
Somewhat difficult,League of Legends,15,0,3,Male,23,Student at college / university,Bachelor (or equivalent),USA,21,31,9
Somewhat difficult,League of Legends,20,1,2,Male,19,Employed,None,DEU,11,45,16
Not difficult at all,League of Legends,21,1,3,Male,20,Student at college / university,High school diploma (or equivalent),USA,14,4,0
Not difficult at all,League of Legends,40,1,1,Other,23,Employed,Bachelor (or equivalent),USA,27,22,1
Somewhat difficult,League of Legends,40,1,1,Male,26,Student at college / university,Bachelor (or equivalent),SRB,12,NA,14
Not difficult at all,League of Legends,4,1,1,Male,19,Student at college / university,High school diploma (or equivalent),NLD,28,NA,7
Not difficult at all,League of Legends,10,1,1,Male,23,Student at college / university,Bachelor (or equivalent),MEX,20,10,4
Somewhat difficult,League of Legends,15,1,1,Male,18,Student at school,High school diploma (or equivalent),GBR,27,7,2
Not difficult at all,League of Legends,12,1,1,Male,29,Employed,Bachelor (or equivalent),USA,28,9,1
Not difficult at all,League of Legends,20,0,1,Male,18,Student at school,None,SRB,22,11,4
Very difficult,League of Legends,21,1,4,Male,29,Student at college / university,Bachelor (or equivalent),DEU,19,9,14
Not difficult at all,League of Legends,12,1,1,Male,19,Student at college / university,High school diploma (or equivalent),BRA,25,0,4
Not difficult at all,League of Legends,30,1,2,Male,19,Student at college / university,High school diploma (or equivalent),BRA,28,13,8
Somewhat difficult,League of Legends,25,1,1,Female,22,Student at college / university,Bachelor (or equivalent),DNK,23,47,16
Somewhat difficult,League of Legends,30,1,2,Male,27,Employed,Bachelor (or equivalent),FIN,28,NA,2
Somewhat difficult,League of Legends,20,0,1,Male,18,Student at college / university,High school diploma (or equivalent),DEU,23,32,5
Not difficult at all,League of Legends,30,1,1,Male,23,Employed,Bachelor (or equivalent),USA,25,0,4
Somewhat difficult,League of Legends,15,1,1,Male,21,Student at college / university,High school diploma (or equivalent),DEU,20,NA,3
Not difficult at all,League of Legends,25,1,1,Male,23,Student at college / university,None,UKR,11,13,7
Not difficult at all,League of Legends,14,1,2,Male,20,Student at college / university,High school diploma (or equivalent),DEU,24,11,5
Extremely difficult,League of Legends,12,1,1,Male,24,Unemployed / between jobs,High school diploma (or equivalent),USA,16,39,15
